"stationName","lineName","operatorName","stationCode","externalCode","branchKey","destinationName","displayLabel","previousStation","nextStation","priority","isActive","note","searchTokens"
"불광","6호선","서울교통공사","2613","612","6호선-응암순환","봉화산행","불광역 6호선 봉화산행","역촌","독바위","1","true","응암순환 구간","6호선|6호선역|봉화산|봉화산행|봉화산행역|불광|불광역|불광역 6호선 봉화산|불광역 6호선 봉화산행|불광역 6호선 봉화산행역"
"신내","6호선","서울교통공사","2649","648","6호선-본선","응암행","신내역 6호선 응암행","봉화산(서울의료원)","","1","true","본선 말단","6호선|6호선역|신내|신내역|신내역 6호선 응암|신내역 6호선 응암행|신내역 6호선 응암행역|응암|응암행|응암행역"
"역촌","6호선","서울교통공사","2612","611","6호선-응암순환","봉화산행","역촌역 6호선 봉화산행","응암","불광","1","true","응암순환 구간","6호선|6호선역|봉화산|봉화산행|봉화산행역|역촌|역촌역|역촌역 6호선 봉화산|역촌역 6호선 봉화산행|역촌역 6호선 봉화산행역"
"연신내","6호선","서울교통공사","2615","614","6호선-응암순환","봉화산행","연신내역 6호선 봉화산행","독바위","구산","1","true","응암순환 구간","6호선|6호선역|봉화산|봉화산행|봉화산행역|연신내|연신내역|연신내역 6호선 봉화산|연신내역 6호선 봉화산행|연신내역 6호선 봉화산행역"
"응암","6호선","서울교통공사","2611","610","6호선-응암순환","봉화산행","응암역 6호선 봉화산행","","역촌","1","true","응암순환 기점 표기 보정","6호선|6호선역|봉화산|봉화산행|봉화산행역|응암|응암역|응암역 6호선 봉화산|응암역 6호선 봉화산행|응암역 6호선 봉화산행역"
"석남(거북시장)","7호선","인천교통공사","","","7호선-본선","장암행","석남(거북시장)역 7호선 장암행","산곡","","1","true","단순 본선","7호선|7호선역|석남(거북시장)|석남(거북시장)역|석남(거북시장)역 7호선 장암|석남(거북시장)역 7호선 장암행|석남(거북시장)역 7호선 장암행역|장암|장암행|장암행역"
"장암","7호선","서울교통공사","2711","709","7호선-본선","석남행","장암역 7호선 석남행","","도봉산","1","true","단순 본선","7호선|7호선역|석남|석남행|석남행역|장암|장암역|장암역 7호선 석남|장암역 7호선 석남행|장암역 7호선 석남행역"
"모란","8호선","서울교통공사","2827","827","8호선-본선","별내행","모란역 8호선 별내행","수진","","1","true","단순 본선","8호선|8호선역|모란|모란역|모란역 8호선 별내|모란역 8호선 별내행|모란역 8호선 별내행역|별내|별내행|별내행역"
"별내","8호선","남양주도시공사","2805","804","8호선-본선","모란행","별내역 8호선 모란행","","다산","1","true","단순 본선","8호선|8호선역|모란|모란행|모란행역|별내|별내역|별내역 8호선 모란|별내역 8호선 모란행|별내역 8호선 모란행역"
"개화","9호선","서울시메트로9호선주식회사","4101","901","9호선-본선","중앙보훈병원행","개화역 9호선 중앙보훈병원행","","김포공항","1","true","단순 본선","9호선|9호선역|개화|개화역|개화역 9호선 중앙보훈병원|개화역 9호선 중앙보훈병원행|개화역 9호선 중앙보훈병원행역|중앙보훈병원|중앙보훈병원행|중앙보훈병원행역"
"중앙보훈병원","9호선","서울시메트로9호선주식회사","4138","938","9호선-본선","개화행","중앙보훈병원역 9호선 개화행","둔촌오륜","","1","true","단순 본선","9호선|9호선역|개화|개화행|개화행역|중앙보훈병원|중앙보훈병원역|중앙보훈병원역 9호선 개화|중앙보훈병원역 9호선 개화행|중앙보훈병원역 9호선 개화행역"
"수서","GTX-A","지티엑스에이운영","0008","X108","GTX-A-본선","운정중앙행","수서역 GTX-A 운정중앙행","","성남","1","true","단순 본선","GTX-A|GTX-A역|수서|수서역|수서역 GTX-A 운정중앙|수서역 GTX-A 운정중앙행|수서역 GTX-A 운정중앙행역|운정중앙|운정중앙행|운정중앙행역"
"운정중앙","GTX-A","지티엑스에이운영","9000","X101","GTX-A-본선","수서행","운정중앙역 GTX-A 수서행","킨텍스","","1","true","단순 본선","GTX-A|GTX-A역|수서|수서행|수서행역|운정중앙|운정중앙역|운정중앙역 GTX-A 수서|운정중앙역 GTX-A 수서행|운정중앙역 GTX-A 수서행역"
"가좌","경의중앙선","코레일","","","경의중앙-본선","지평행","가좌역 경의중앙선 지평행","서울역","홍대입구","1","true","중앙선 직결","가좌|가좌역|가좌역 경의중앙선 지평|가좌역 경의중앙선 지평행|가좌역 경의중앙선 지평행역|경의중앙선|경의중앙선역|지평|지평행|지평행역"
"가좌","경의중앙선","코레일","","","경의중앙-서울지선","서울역행","가좌역 경의중앙선 서울역행","서울역","홍대입구","2","true","서울역 지선","가좌|가좌역|가좌역 경의중앙선 서울역|가좌역 경의중앙선 서울역행|가좌역 경의중앙선 서울역행역|경의중앙선|경의중앙선역|서울역|서울역행|서울역행역"
"공덕","경의중앙선","코레일","","","경의중앙-서울지선","서울역행","공덕역 경의중앙선 서울역행","서강대","효창공원앞","1","true","서울역 지선 중간","경의중앙선|경의중앙선역|공덕|공덕역|공덕역 경의중앙선 서울역|공덕역 경의중앙선 서울역행|공덕역 경의중앙선 서울역행역|서울역|서울역행|서울역행역"
"디지털미디어시티","경의중앙선","코레일","","","경의중앙-본선","지평행","디지털미디어시티역 경의중앙선 지평행","신촌","서울역","1","true","본선","경의중앙선|경의중앙선역|디지털미디어시티|디지털미디어시티역|디지털미디어시티역 경의중앙선 지평|디지털미디어시티역 경의중앙선 지평행|디지털미디어시티역 경의중앙선 지평행역|지평|지평행|지평행역"
"디지털미디어시티","경의중앙선","코레일","","","경의중앙-서울지선","서울역행","디지털미디어시티역 경의중앙선 서울역행","신촌","서울역","2","true","서울역 지선","경의중앙선|경의중앙선역|디지털미디어시티|디지털미디어시티역|디지털미디어시티역 경의중앙선 서울역|디지털미디어시티역 경의중앙선 서울역행|디지털미디어시티역 경의중앙선 서울역행역|서울역|서울역행|서울역행역"
"서울역","경의중앙선","코레일","","","경의중앙-서울지선","가좌행","서울역역 경의중앙선 가좌행","디지털미디어시티","가좌","1","true","서울역 지선 말단","가좌|가좌행|가좌행역|경의중앙선|경의중앙선역|서울|서울역|서울역역 경의중앙선 가좌|서울역역 경의중앙선 가좌행|서울역역 경의중앙선 가좌행역"
